shop_id,model_id,available_units
SHOP3068,MOD2111,
SHOP3063,MOD2021,
SHOP3004,MOD2008,13.0
SHOP3041,MOD2105,8.0
SHOP3024,MOD2109,24.0
SHOP3029,MOD2172,
SHOP3068,MOD2151,
SHOP3032,MOD2142,
SHOP3090,MOD2023,
SHOP3094,MOD2133,38.0
SHOP3048,MOD2129,8.0
SHOP3050,MOD2158,
SHOP3038,MOD2025,16.0
SHOP3013,MOD2012,
SHOP3000,MOD2061,
SHOP3042,MOD2026,
SHOP3050,MOD2030,7.0
SHOP3079,MOD2052,
SHOP3050,MOD2080,
SHOP3053,MOD2115,22.0
SHOP3010,MOD2062,
SHOP3061,MOD2141,22.0
SHOP3079,MOD2107,
SHOP3069,MOD2100,
SHOP3041,MOD2108,
SHOP3071,MOD2146,
SHOP3045,MOD2095,16.0
SHOP3039,MOD2194,
SHOP3078,MOD2161,
SHOP3035,MOD2066,
SHOP3021,MOD2177,
SHOP3016,MOD2163,
SHOP3049,MOD2111,26.0
SHOP3046,MOD2155,
SHOP3022,MOD2063,
SHOP3013,MOD2074,
SHOP3034,MOD2162,28.0
SHOP3034,MOD2190,
SHOP3033,MOD2008,
SHOP3064,MOD2098,
SHOP3035,MOD2137,
SHOP3032,MOD2188,
SHOP3088,MOD2033,
SHOP3083,MOD2096,23.0
SHOP3085,MOD2033,
SHOP3014,MOD2089,12.0
SHOP3014,MOD2089,25.0
SHOP3014,MOD2089,29.0
SHOP3063,MOD2017,
SHOP3010,MOD2129,
SHOP3043,MOD2064,
SHOP3000,MOD2010,
SHOP3060,MOD2170,35.0
SHOP3018,MOD2055,1.0
SHOP3015,MOD2084,
SHOP3036,MOD2107,
SHOP3003,MOD2115,15.0
SHOP3033,MOD2136,
SHOP3053,MOD2087,
SHOP3018,MOD2181,8.0
SHOP3055,MOD2096,25.0
SHOP3094,MOD2184,
SHOP3052,MOD2120,
SHOP3082,MOD2099,
SHOP3089,MOD2153,
SHOP3058,MOD2092,30.0
SHOP3089,MOD2136,
SHOP3037,MOD2055,
SHOP3092,MOD2123,
SHOP3070,MOD2009,
SHOP3062,MOD2024,21.0
SHOP3013,MOD2048,26.0
SHOP3053,MOD2112,16.0
SHOP3072,MOD2132,
SHOP3079,MOD2096,
SHOP3026,MOD2039,
SHOP3091,MOD2140,
SHOP3085,MOD2107,
SHOP3029,MOD2122,
SHOP3073,MOD2104,
SHOP3072,MOD2153,
SHOP3010,MOD2154,
SHOP3016,MOD2153,31.0
SHOP3038,MOD2058,
SHOP3027,MOD2173,17.0
SHOP3027,MOD2173,33.0
SHOP3038,MOD2121,
SHOP3059,MOD2003,
SHOP3059,MOD2147,
SHOP3000,MOD2162,
SHOP3082,MOD2177,
SHOP3009,MOD2145,7.0
SHOP3009,MOD2145,42.0
SHOP3085,MOD2046,
SHOP3026,MOD2061,
SHOP3050,MOD2037,13.0
SHOP3050,MOD2037,17.0
SHOP3005,MOD2065,22.0
SHOP3005,MOD2065,15.0
SHOP3098,MOD2081,
SHOP3060,MOD2022,
SHOP3040,MOD2152,
SHOP3094,MOD2072,
SHOP3089,MOD2055,
SHOP3091,MOD2132,
SHOP3061,MOD2144,
SHOP3031,MOD2185,
SHOP3034,MOD2169,11.0
SHOP3021,MOD2076,15.0
SHOP3002,MOD2097,20.0
SHOP3026,MOD2071,
SHOP3065,MOD2051,25.0
SHOP3048,MOD2028,7.0
SHOP3044,MOD2191,
SHOP3027,MOD2197,
SHOP3059,MOD2155,
SHOP3019,MOD2094,
SHOP3008,MOD2039,
SHOP3099,MOD2110,29.0
SHOP3033,MOD2125,
SHOP3083,MOD2172,
SHOP3008,MOD2191,
SHOP3007,MOD2191,
SHOP3081,MOD2094,
SHOP3064,MOD2113,2.0
SHOP3064,MOD2113,17.0
SHOP3064,MOD2113,23.0
SHOP3023,MOD2089,
SHOP3032,MOD2091,15.0
SHOP3071,MOD2106,
SHOP3018,MOD2163,17.0
SHOP3046,MOD2194,
SHOP3014,MOD2130,6.0
SHOP3014,MOD2130,16.0
SHOP3056,MOD2186,
SHOP3030,MOD2042,
SHOP3000,MOD2007,
SHOP3053,MOD2107,
SHOP3045,MOD2160,28.0
SHOP3045,MOD2160,18.0
SHOP3071,MOD2108,
SHOP3051,MOD2194,
SHOP3072,MOD2078,
SHOP3044,MOD2090,
SHOP3058,MOD2178,
SHOP3039,MOD2046,15.0
SHOP3026,MOD2053,
SHOP3009,MOD2059,37.0
SHOP3018,MOD2003,
SHOP3071,MOD2093,13.0
SHOP3037,MOD2084,
SHOP3030,MOD2028,
SHOP3052,MOD2183,
SHOP3062,MOD2000,
SHOP3065,MOD2117,
SHOP3064,MOD2130,
SHOP3088,MOD2017,11.0
SHOP3074,MOD2010,
SHOP3051,MOD2121,
