sale_id,sale_date,customer_id,model_id,shop_id,offer_id,quantity,discount,final_price,payment_mode,status
SALE4000,2024-11-26,CUST2083,MOD2111,SHOP3068,OFF_UNKNOWN,1,1.05,22316.1935,Credit Card,Delivered
SALE4001,2021-07-13,CUST2384,MOD2021,SHOP3063,OFF_UNKNOWN,1,10.48,26218.6176,Cash,Pending
SALE4002,2025-05-04,CUST6189,MOD2008,SHOP3004,OFF_UNKNOWN,2,13.55,36469.797,Cash,Cancelled
SALE4003,2023-02-28,CUST4992,MOD2105,SHOP3041,OFF_UNKNOWN,1,7.57,37230.804,Credit Card,Pending
SALE4004,2020-04-12,CUST4707,MOD2109,SHOP3024,OFF_UNKNOWN,1,18.79,35201.2866,UPI,Delivered
SALE4005,2020-05-21,CUST4330,MOD2172,SHOP3029,OFF_UNKNOWN,1,3.74,14256.106,EMI,Delivered
SALE4006,2025-03-04,CUST5289,MOD2151,SHOP3068,OFF_UNKNOWN,1,16.19,19933.3704,Credit Card,Cancelled
SALE4007,2023-12-21,CUST1860,MOD2142,SHOP3032,OFF_UNKNOWN,1,13.63,16844.7411,Credit Card,Delivered
SALE4008,2020-10-09,CUST2133,MOD2023,SHOP3090,OFF_UNKNOWN,1,20.18,10849.1344,Credit Card,Pending
SALE4009,2020-06-04,CUST5684,MOD2133,SHOP3094,OFF_UNKNOWN,2,13.26,30273.9948,Cash,Delivered
SALE4010,2020-03-24,CUST2810,MOD2129,SHOP3048,OFF_UNKNOWN,1,4.49,16991.229,Credit Card,Pending
SALE4011,2023-05-22,CUST2459,MOD2158,SHOP3050,OFF_UNKNOWN,1,1.75,33538.62,Cash,Delivered
SALE4012,2019-02-08,CUST5590,MOD2025,SHOP3038,OFF_UNKNOWN,1,12.73,24243.606,Cash,Cancelled
SALE4013,2019-05-28,CUST5222,MOD2012,SHOP3013,OFF_UNKNOWN,1,27.21,22890.2713,UPI,Pending
SALE4014,2022-10-05,CUST4828,MOD2061,SHOP3000,OFF_UNKNOWN,1,18.66,25836.0242,Cash,Delivered
SALE4015,2023-05-11,CUST4311,MOD2026,SHOP3042,OFF_UNKNOWN,1,19.4,20283.796,EMI,Pending
SALE4016,2024-08-24,CUST6545,MOD2030,SHOP3050,OFF_UNKNOWN,1,29.87,18591.463,Cash,Delivered
SALE4017,2020-12-26,CUST5035,MOD2052,SHOP3079,OFF_UNKNOWN,2,13.64,28056.6368,Credit Card,Cancelled
SALE4018,2019-07-08,CUST1178,MOD2080,SHOP3050,OFF_UNKNOWN,1,6.3,10048.388,UPI,Delivered
SALE4019,2023-12-06,CUST1121,MOD2115,SHOP3053,OFF_UNKNOWN,2,8.3,63025.41,Cash,Pending
SALE4019,2023-12-06,CUST1121,MOD2115,SHOP3053,OFF_UNKNOWN,2,8.3,63025.41,Cash,Pending
SALE4020,2023-11-16,CUST4491,MOD2062,SHOP3010,OFF_UNKNOWN,1,23.8,15232.38,Credit Card,Pending
SALE4021,2023-01-10,CUST5026,MOD2141,SHOP3061,OFF_UNKNOWN,2,17.96,38391.4384,Credit Card,Delivered
SALE4022,2024-09-16,CUST4158,MOD2107,SHOP3079,OFF_UNKNOWN,1,27.9,23386.356000000003,UPI,Cancelled
SALE4023,2023-06-20,CUST2043,MOD2100,SHOP3069,OFF_UNKNOWN,1,7.18,37868.7036,UPI,Pending
SALE4024,2023-08-12,CUST1112,MOD2108,SHOP3041,OFF_UNKNOWN,1,13.47,21528.664,Cash,Pending
SALE4025,2025-04-15,CUST5345,MOD2146,SHOP3071,OFF_UNKNOWN,1,21.68,15825.3392,EMI,Delivered
SALE4026,2020-01-26,CUST3044,MOD2095,SHOP3045,OFF_UNKNOWN,1,6.02,22365.3604,Cash,Delivered
SALE4027,2020-08-02,CUST4310,MOD2194,SHOP3039,OFF_UNKNOWN,1,9.4,24480.12,EMI,Pending
SALE4028,2023-07-01,CUST1933,MOD2161,SHOP3078,OFF_UNKNOWN,1,8.03,22602.5472,EMI,Pending
SALE4029,2022-06-26,CUST2809,MOD2066,SHOP3035,OFF_UNKNOWN,1,27.69,14610.9586,UPI,Cancelled
SALE4030,2025-06-05,CUST6112,MOD2177,SHOP3021,OFF_UNKNOWN,2,26.35,43434.351,UPI,Delivered
SALE4031,2020-06-16,CUST5370,MOD2163,SHOP3016,OFF_UNKNOWN,1,3.6,36047.816,Credit Card,Pending
SALE4032,2021-02-03,CUST1307,MOD2111,SHOP3049,OFF_UNKNOWN,1,26.37,16605.7739,Cash,Delivered
SALE4033,2022-11-15,CUST3498,MOD2155,SHOP3046,OFF_UNKNOWN,1,3.87,16340.1774,EMI,Delivered
SALE4034,2023-04-23,CUST1385,MOD2063,SHOP3022,OFF_UNKNOWN,1,0.93,31131.7568,UPI,Pending
SALE4035,2020-11-30,CUST6408,MOD2074,SHOP3013,OFF_UNKNOWN,1,7.01,24080.6904,Credit Card,Cancelled
SALE4036,2020-10-24,CUST2157,MOD2162,SHOP3034,OFF_UNKNOWN,1,28.47,11867.5423,Cash,Pending
SALE4037,2024-03-07,CUST5338,MOD2190,SHOP3034,OFF_UNKNOWN,1,13.06,18033.9642,Credit Card,Delivered
SALE4038,2019-01-02,CUST4800,MOD2008,SHOP3033,OFF_UNKNOWN,1,7.36,19540.5552,Cash,Delivered
SALE4039,2025-04-03,CUST5385,MOD2098,SHOP3064,OFF_UNKNOWN,2,18.87,43845.8972,UPI,Delivered
SALE4040,2022-05-23,CUST5827,MOD2137,SHOP3035,OFF_UNKNOWN,1,13.64,20564.9068,EMI,Pending
SALE4041,2020-09-19,CUST3046,MOD2188,SHOP3032,OFF_UNKNOWN,1,12.93,10601.6432,Cash,Cancelled
SALE4042,2019-04-08,CUST3095,MOD2033,SHOP3088,OFF_UNKNOWN,1,24.2,16217.41,EMI,Pending
SALE4043,2022-01-30,CUST3726,MOD2096,SHOP3083,OFF_UNKNOWN,1,3.89,22314.8198,EMI,Pending
SALE4044,2023-07-18,CUST5154,MOD2033,SHOP3085,OFF_UNKNOWN,1,25.32,15977.786,Cash,Cancelled
SALE4045,2024-08-10,CUST6328,MOD2089,SHOP3014,OFF_UNKNOWN,1,0.11,28282.8546,Cash,Delivered
SALE4045,2024-08-10,CUST6328,MOD2089,SHOP3014,OFF_UNKNOWN,1,0.11,28282.8546,Cash,Delivered
SALE4045,2024-08-10,CUST6328,MOD2089,SHOP3014,OFF_UNKNOWN,1,0.11,28282.8546,Cash,Delivered
SALE4046,2020-06-23,CUST2378,MOD2017,SHOP3063,OFF_UNKNOWN,1,3.49,26078.9322,Credit Card,Cancelled
SALE4047,2022-01-14,CUST4044,MOD2129,SHOP3010,OFF_UNKNOWN,1,0.17,17759.756999999998,Cash,Pending
SALE4048,2019-04-30,CUST2027,MOD2064,SHOP3043,OFF_UNKNOWN,2,22.59,47882.7296,EMI,Cancelled
SALE4049,2019-06-13,CUST6222,MOD2010,SHOP3000,OFF_UNKNOWN,2,19.55,40434.17,Cash,Cancelled
SALE4050,2025-04-14,CUST4467,MOD2170,SHOP3060,OFF_UNKNOWN,1,14.04,14375.9504,Cash,Cancelled
SALE4051,2022-09-13,CUST2246,MOD2055,SHOP3018,OFF_UNKNOWN,1,16.63,19315.1616,Cash,Delivered
SALE4052,2022-04-08,CUST3666,MOD2084,SHOP3015,OFF_UNKNOWN,1,0.5,33251.905,EMI,Cancelled
SALE4053,2023-10-11,CUST1236,MOD2107,SHOP3036,OFF_UNKNOWN,1,19.57,26088.2748,Credit Card,Cancelled
SALE4054,2020-02-09,CUST4811,MOD2115,SHOP3003,OFF_UNKNOWN,1,8.43,31468.0305,UPI,Pending
SALE4055,2024-03-18,CUST6494,MOD2136,SHOP3033,OFF_UNKNOWN,1,15.51,12507.0547,UPI,Pending
SALE4056,2019-05-24,CUST6968,MOD2087,SHOP3053,OFF_UNKNOWN,1,27.84,20362.8304,UPI,Cancelled
SALE4057,2019-04-30,CUST3437,MOD2181,SHOP3018,OFF_UNKNOWN,2,10.35,70518.69,Credit Card,Cancelled
SALE4058,2022-02-05,CUST3814,MOD2096,SHOP3055,OFF_UNKNOWN,2,21.52,36442.9728,Credit Card,Pending
SALE4059,2021-05-15,CUST5494,MOD2184,SHOP3094,OFF_UNKNOWN,2,6.83,31297.6664,Cash,Delivered
SALE4060,2024-10-19,CUST4823,MOD2120,SHOP3052,OFF_UNKNOWN,1,27.11,12954.0108,UPI,Pending
SALE4061,2022-01-10,CUST6727,MOD2099,SHOP3082,OFF_UNKNOWN,1,19.39,26091.0387,UPI,Pending
SALE4062,2019-05-24,CUST5015,MOD2153,SHOP3089,OFF_UNKNOWN,1,10.34,14730.2414,UPI,Delivered
SALE4063,2025-06-09,CUST2875,MOD2092,SHOP3058,OFF_UNKNOWN,1,6.8,7115.82,Cash,Delivered
SALE4064,2022-07-28,CUST2887,MOD2136,SHOP3089,OFF_UNKNOWN,1,21.59,11607.0323,EMI,Delivered
SALE4065,2019-08-19,CUST2293,MOD2055,SHOP3037,OFF_UNKNOWN,2,10.8,41331.712,UPI,Pending
SALE4066,2025-07-09,CUST6689,MOD2123,SHOP3092,OFF_UNKNOWN,1,18.01,21042.7335,EMI,Pending
SALE4067,2024-06-13,CUST5186,MOD2009,SHOP3070,OFF_UNKNOWN,2,8.19,45916.0172,EMI,Cancelled
SALE4068,2019-03-07,CUST5720,MOD2024,SHOP3062,OFF_UNKNOWN,2,4.87,63029.3328,Credit Card,Pending
SALE4069,2021-09-28,CUST5183,MOD2048,SHOP3013,OFF_UNKNOWN,1,6.73,7431.7536,UPI,Delivered
SALE4070,2019-11-02,CUST4153,MOD2112,SHOP3053,OFF_UNKNOWN,1,8.18,29802.9356,Credit Card,Pending
