stock_id,shop_id,model_id,available_units,last_updated
STK5000,SHOP3051,MOD2039,9.0,2021-11-30
STK5001,SHOP3090,MOD2026,5.0,2021-02-15
STK5002,SHOP3023,MOD2177,11.0,2021-12-28
STK5003,SHOP3088,MOD2156,11.0,2020-06-10
STK5004,SHOP3053,MOD2009,33.0,2022-12-22
STK5005,SHOP3011,MOD2168,34.0,2019-06-14
STK5006,SHOP3008,MOD2021,48.0,2021-06-02
STK5007,SHOP3020,MOD2039,34.0,2021-08-30
STK5008,SHOP3010,MOD2099,24.0,2019-09-27
STK5009,SHOP3044,MOD2025,39.0,2023-09-30
STK5010,SHOP3032,MOD2069,25.0,2021-11-16
STK5011,SHOP3010,MOD2123,19.0,2022-04-08
STK5012,SHOP3017,MOD2030,15.0,2021-04-28
STK5013,SHOP3001,MOD2031,16.0,2021-09-16
STK5014,SHOP3037,MOD2148,14.0,2019-04-05
STK5015,SHOP3047,MOD2023,25.0,2024-09-07
STK5016,SHOP3058,MOD2058,28.0,2025-03-02
STK5017,SHOP3092,MOD2153,8.0,2022-07-03
STK5018,SHOP3005,MOD2141,14.0,2021-03-27
STK5019,SHOP3015,MOD2047,20.0,2020-08-23
STK5020,SHOP3073,MOD2066,9.0,2021-09-10
STK5021,SHOP3039,MOD2090,17.0,2022-03-21
STK5022,SHOP3030,MOD2190,1.0,2025-03-02
STK5023,SHOP3026,MOD2127,15.0,2020-09-14
STK5024,SHOP3070,MOD2175,34.0,2020-02-08
STK5025,SHOP3009,MOD2101,7.0,2020-03-25
STK5026,SHOP3043,MOD2188,24.0,2022-08-31
STK5027,SHOP3094,MOD2026,16.0,2020-04-10
STK5028,SHOP3014,MOD2175,25.0,2023-10-10
STK5029,SHOP3043,MOD2039,14.0,2020-10-16
STK5030,SHOP3020,MOD2146,17.0,2020-09-06
STK5031,SHOP3066,MOD2178,20.0,2024-04-17
STK5032,SHOP3063,MOD2051,33.0,2022-11-08
STK5033,SHOP3021,MOD2148,15.0,2021-02-18
STK5034,SHOP3096,MOD2007,32.0,2021-04-15
STK5035,SHOP3015,MOD2153,23.0,2020-09-10
STK5036,SHOP3087,MOD2152,18.0,2019-06-09
STK5037,SHOP3022,MOD2076,28.0,2020-01-08
STK5038,SHOP3083,MOD2101,16.0,2024-11-21
STK5039,SHOP3089,MOD2105,11.0,2019-03-28
STK5040,SHOP3052,MOD2105,14.0,2025-03-02
STK5041,SHOP3015,MOD2056,17.0,2022-12-03
STK5042,SHOP3064,MOD2191,25.0,2024-01-31
STK5043,SHOP3097,MOD2069,28.0,2020-10-14
STK5044,SHOP3007,MOD2159,29.0,2021-10-23
STK5045,SHOP3047,MOD2106,8.0,2021-05-02
STK5046,SHOP3098,MOD2151,24.0,2021-07-27
STK5047,SHOP3035,MOD2168,33.0,2022-08-02
STK5048,SHOP3065,MOD2024,35.0,2025-01-23
STK5049,SHOP3029,MOD2169,32.0,2025-02-24
STK5050,SHOP3098,MOD2057,29.0,2020-01-04
STK5051,SHOP3049,MOD2118,17.0,2022-09-04
STK5052,SHOP3027,MOD2199,7.0,2019-02-04
STK5053,SHOP3050,MOD2157,13.0,2019-08-12
STK5054,SHOP3057,MOD2087,16.0,2020-07-02
STK5055,SHOP3019,MOD2108,,2023-04-13
STK5056,SHOP3033,MOD2156,21.0,2020-06-06
STK5057,SHOP3093,MOD2109,5.0,2025-02-09
STK5058,SHOP3007,MOD2074,24.0,2020-08-02
STK5059,SHOP3095,MOD2135,23.0,2021-05-09
STK5060,SHOP3043,MOD2175,29.0,2023-11-04
STK5061,SHOP3065,MOD2123,22.0,2021-02-23
STK5062,SHOP3043,MOD2022,5.0,2023-11-20
STK5063,SHOP3036,MOD2190,19.0,2021-11-20
STK5064,SHOP3079,MOD2185,19.0,2022-05-17
STK5065,SHOP3018,MOD2093,23.0,2024-11-12
STK5066,SHOP3082,MOD2030,17.0,2023-06-03
STK5067,SHOP3099,MOD2135,32.0,2020-12-20
STK5068,SHOP3033,MOD2153,,2022-05-21
STK5069,SHOP3032,MOD2186,,2023-07-09
STK5070,SHOP3007,MOD2132,14.0,2022-09-19
STK5071,SHOP3027,MOD2171,18.0,2020-07-12
STK5072,SHOP3047,MOD2058,27.0,2024-07-05
STK5073,SHOP3019,MOD2060,23.0,2022-05-08
STK5074,SHOP3034,MOD2002,27.0,2022-11-06
STK5075,SHOP3073,MOD2183,22.0,2025-03-25
STK5076,SHOP3093,MOD2129,19.0,2023-10-19
STK5077,SHOP3011,MOD2158,17.0,2025-03-31
STK5078,SHOP3012,MOD2164,,2020-07-06
STK5079,SHOP3049,MOD2019,13.0,2019-06-23
STK5080,SHOP3068,MOD2080,30.0,2020-10-01
STK5081,SHOP3009,MOD2174,34.0,2020-07-13
STK5082,SHOP3067,MOD2033,9.0,2022-11-05
STK5083,SHOP3095,MOD2016,13.0,2025-07-20
STK5084,SHOP3053,MOD2020,10.0,2019-07-03
STK5085,SHOP3033,MOD2009,31.0,2024-10-01
STK5086,SHOP3010,MOD2086,,2021-05-29
STK5087,SHOP3095,MOD2178,13.0,2024-03-31
