final_price,revenue,discount,brand,ram_gb,storage_gb,rating,city
22316.19,22316.19,1.05,realme,4,64,4.8,Bangalore
26218.62,26218.62,10.48,Samsung,4,256,5.0,Ahmedbad
36469.8,72939.6,13.55,Apple,6,128,3.5,Kolkatta
37230.8,37230.8,7.57,Apple,12,64,3.3,Jaipur
35201.29,35201.29,18.79,Motorola,6,64,4.2,Hydrabad
14256.11,14256.11,3.74,Xiaomi,6,512,3.1,Delhi
19933.37,19933.37,16.19,Apple,4,64,4.8,Bangalore
16844.74,16844.74,13.63,Samsung,6,512,5.0,Chennai
10849.13,10849.13,20.18,OPPO,12,128,3.8,Chennai
30273.99,60547.98,13.26,realme,12,64,3.1,Chennai
16991.23,16991.23,4.49,Motorola,8,128,4.2,Suratt
33538.62,33538.62,1.75,Motorola,12,64,3.2,Hydrabad
24243.61,24243.61,12.73,OnePlus,12,64,5.0,Ahmedbad
22890.27,22890.27,27.21,vivo,8,128,4.1,Kolkatta
25836.02,25836.02,18.66,Xiaomi,4,512,4.1,Chennai
20283.8,20283.8,19.4,Apple,4,256,4.6,Pune
18591.46,18591.46,29.87,Apple,12,512,3.2,Ahmedbad
28056.64,56113.28,13.64,Samsung,8,128,4.4,Jaipur
10048.39,10048.39,6.3,Xiaomi,4,128,3.2,Hydrabad
63025.41,126050.82,8.3,realme,12,256,3.6,Bangalore
15232.38,15232.38,23.8,vivo,6,256,4.2,Ahmedbad
38391.44,76782.88,17.96,realme,6,512,4.1,Bangalore
23386.36,23386.36,27.9,realme,8,128,4.4,Suratt
37868.7,37868.7,7.18,realme,8,512,3.4,Delhi
21528.66,21528.66,13.47,OnePlus,8,64,3.3,Pune
15825.34,15825.34,21.68,Motorola,6,64,4.1,Kolkatta
22365.36,22365.36,6.02,Xiaomi,12,64,4.7,Pune
24480.12,24480.12,9.4,OnePlus,6,512,3.5,Ahmedbad
22602.55,22602.55,8.03,Apple,4,512,3.5,Suratt
14610.96,14610.96,27.69,OPPO,6,512,3.9,Bangalore
43434.35,86868.7,26.35,Apple,8,256,4.7,Delhi
36047.82,36047.82,3.6,Apple,4,128,3.3,Mumbai
16605.77,16605.77,26.37,realme,4,64,3.8,Chennai
16340.18,16340.18,3.87,OPPO,4,512,3.3,Suratt
31131.76,31131.76,0.93,realme,12,256,4.5,Mumbai
24080.69,24080.69,7.01,OPPO,6,256,4.1,Pune
11867.54,11867.54,28.47,realme,8,64,4.3,Jaipur
18033.96,18033.96,13.06,Motorola,6,128,4.3,Hydrabad
19540.56,19540.56,7.36,Apple,6,128,4.2,Chennai
43845.9,87691.8,18.87,Apple,12,128,5.0,Mumbai
20564.91,20564.91,13.64,Motorola,4,256,3.9,Ahmedbad
10601.64,10601.64,12.93,OPPO,4,64,5.0,Bangalore
16217.41,16217.41,24.2,Xiaomi,4,256,4.0,Kolkatta
22314.82,22314.82,3.89,Apple,8,64,4.9,Pune
15977.79,15977.79,25.32,Xiaomi,4,256,3.6,Chennai
28282.85,28282.85,0.11,OnePlus,6,512,3.6,Pune
26078.93,26078.93,3.49,realme,12,128,5.0,Chennai
17759.76,17759.76,0.17,Motorola,8,128,4.2,Delhi
47882.73,95765.46,22.59,Xiaomi,8,128,4.9,Mumbai
40434.17,80868.34,19.55,vivo,4,512,4.1,Delhi
14375.95,14375.95,14.04,realme,4,256,3.1,Mumbai
19315.16,19315.16,16.63,Xiaomi,4,64,3.9,Delhi
33251.9,33251.9,0.5,OPPO,6,64,3.5,Jaipur
26088.27,26088.27,19.57,realme,8,128,3.3,Mumbai
31468.03,31468.03,8.43,realme,12,256,4.7,Jaipur
12507.05,12507.05,15.51,Motorola,12,64,4.2,Kolkatta
20362.83,20362.83,27.84,realme,8,64,3.6,Kolkatta
70518.69,141037.38,10.35,Motorola,4,256,3.9,Suratt
36442.97,72885.94,21.52,Apple,8,64,4.0,Jaipur
31297.67,62595.34,6.83,vivo,6,64,3.1,Pune
12954.01,12954.01,27.11,vivo,4,128,4.2,Jaipur
26091.04,26091.04,19.39,vivo,12,64,3.7,Bangalore
14730.24,14730.24,10.34,realme,6,256,3.1,Chennai
7115.82,7115.82,6.8,vivo,8,64,5.0,Kolkatta
11607.03,11607.03,21.59,Motorola,12,64,3.1,Mumbai
41331.71,82663.42,10.8,Xiaomi,4,64,4.1,Jaipur
21042.73,21042.73,18.01,OnePlus,4,256,3.8,Kolkatta
45916.02,91832.04,8.19,OPPO,12,256,3.3,Kolkatta
63029.33,126058.66,4.87,OPPO,12,64,3.7,Ahmedbad
7431.75,7431.75,6.73,Motorola,12,512,4.1,Hydrabad
29802.94,29802.94,8.18,Samsung,12,256,3.6,Suratt
25688.36,25688.36,6.24,OnePlus,4,128,4.6,Suratt
18230.77,18230.77,21.48,Apple,8,64,4.4,Pune
43707.75,43707.75,18.89,OnePlus,12,512,3.5,Delhi
54743.8,109487.6,9.61,realme,6,512,4.4,Kolkatta
27363.01,27363.01,15.64,realme,8,128,3.6,Delhi
7266.04,7266.04,1.29,realme,12,512,3.1,Delhi
19585.5,19585.5,9.96,Motorola,8,128,3.3,Kolkatta
13001.91,13001.91,20.86,realme,6,256,4.6,Delhi
14781.66,14781.66,29.21,Samsung,12,256,4.2,Pune
13318.99,13318.99,18.93,realme,6,256,3.3,Kolkatta
11761.73,11761.73,28.01,Samsung,4,128,5.0,Suratt
15362.38,15362.38,27.91,Motorola,12,256,3.7,Mumbai
16249.74,16249.74,9.27,OPPO,6,128,5.0,Chennai
16206.59,16206.59,28.14,Xiaomi,4,64,3.5,Chennai
18525.38,18525.38,29.86,Motorola,6,256,3.5,Mumbai
12595.89,12595.89,24.08,realme,8,64,4.1,Chennai
25656.64,25656.64,12.99,Apple,8,256,3.7,Delhi
25642.4,51284.8,1.61,OPPO,4,64,3.5,Chennai
19909.21,19909.21,17.0,Apple,6,512,3.6,Chennai
31534.31,31534.31,0.72,Xiaomi,4,512,3.5,Ahmedbad
50584.25,101168.5,4.54,Samsung,6,512,3.2,Bangalore
13504.77,13504.77,29.94,realme,4,128,4.6,Suratt
30150.93,30150.93,14.48,OnePlus,4,512,4.0,Kolkatta
20392.4,20392.4,25.48,Motorola,8,64,3.1,Delhi
30731.07,30731.07,15.07,Motorola,6,128,3.0,Chennai
18027.29,18027.29,16.76,Samsung,4,512,3.1,Jaipur
45353.68,90707.36,2.12,Xiaomi,4,64,3.1,Pune
52291.82,104583.64,4.57,OnePlus,4,128,4.4,Delhi
25372.12,25372.12,17.09,OnePlus,4,64,4.1,Hydrabad
11106.97,11106.97,20.46,OPPO,8,256,3.5,Suratt
12130.73,12130.73,24.05,OPPO,8,256,4.3,Delhi
21316.67,21316.67,23.47,OnePlus,6,128,4.7,Ahmedbad
18718.72,18718.72,8.3,realme,8,128,4.0,Kolkatta
12352.66,12352.66,11.1,vivo,4,64,3.5,Suratt
9310.35,9310.35,18.97,realme,12,512,4.6,Mumbai
18641.71,18641.71,9.18,Samsung,8,512,4.2,Delhi
38406.4,76812.8,19.26,Samsung,12,64,4.2,Hydrabad
26553.91,26553.91,23.31,Motorola,6,64,3.7,Chennai
14421.1,14421.1,15.16,OPPO,4,512,3.5,Bangalore
26297.43,26297.43,12.26,OPPO,8,256,3.8,Delhi
39531.5,39531.5,26.64,OnePlus,12,512,3.6,Delhi
22358.56,22358.56,9.13,Samsung,4,512,4.4,Suratt
26761.36,26761.36,10.73,realme,6,128,4.2,Pune
12542.59,12542.59,15.31,Xiaomi,6,512,4.9,Chennai
45213.38,90426.76,4.95,Samsung,12,64,3.6,Hydrabad
45308.52,90617.04,4.75,Samsung,12,64,3.4,Chennai
25245.42,25245.42,15.77,OPPO,8,256,3.1,Kolkatta
16109.0,16109.0,5.23,Xiaomi,6,128,5.0,Jaipur
21629.06,21629.06,23.61,OnePlus,6,512,3.2,Ahmedbad
49360.3,98720.6,1.03,vivo,4,64,5.0,Chennai
16914.07,16914.07,7.04,Xiaomi,6,64,4.1,Suratt
33695.73,33695.73,9.89,Apple,4,128,3.9,Ahmedbad
52629.56,105259.12,2.61,OnePlus,6,512,3.3,Kolkatta
23121.79,23121.79,21.87,vivo,4,512,3.6,Mumbai
20640.76,20640.76,23.16,Motorola,12,64,4.6,Kolkatta
21526.38,21526.38,25.11,vivo,6,128,3.4,Bangalore
16539.45,16539.45,23.63,Samsung,4,512,3.1,Bangalore
29539.41,59078.82,17.69,OnePlus,8,128,4.1,Hydrabad
24359.44,24359.44,24.9,realme,8,128,3.6,Jaipur
28339.5,28339.5,22.08,realme,4,256,4.7,Hydrabad
24777.99,24777.99,0.41,OnePlus,8,64,4.1,Jaipur
53256.42,106512.84,1.45,OnePlus,6,512,4.7,Jaipur
21299.46,21299.46,17.88,Motorola,12,128,4.6,Mumbai
17037.97,17037.97,28.97,Apple,8,512,4.2,Pune
41288.08,41288.08,9.81,realme,4,256,5.0,Delhi
22204.77,22204.77,7.43,Apple,6,512,3.5,Jaipur
35538.96,35538.96,8.72,realme,4,128,3.5,Bangalore
21886.87,21886.87,13.03,Apple,12,256,3.5,Mumbai
22147.05,22147.05,1.8,Xiaomi,4,64,3.9,Delhi
22717.04,22717.04,5.84,OnePlus,6,128,4.1,Ahmedbad
50496.11,100992.22,24.45,OPPO,6,64,4.1,Kolkatta
34849.04,69698.08,15.11,Samsung,8,512,3.4,Pune
62252.64,124505.28,0.9,OPPO,8,64,4.2,Mumbai
28329.32,28329.32,24.63,OPPO,12,128,3.7,Kolkatta
29596.3,29596.3,28.34,realme,12,128,4.6,Hydrabad
26548.78,26548.78,10.29,vivo,4,512,5.0,Delhi
24181.99,24181.99,10.51,realme,12,128,4.0,Hydrabad
18161.45,18161.45,27.73,vivo,4,512,3.6,Bangalore
16513.02,16513.02,7.8,OPPO,6,128,4.7,Suratt
23068.68,23068.68,14.63,Apple,12,128,3.9,Jaipur
40817.78,40817.78,1.17,realme,12,128,4.2,Delhi
18419.13,18419.13,11.79,Samsung,12,256,4.0,Bangalore
19692.09,39384.18,27.56,OPPO,12,128,4.5,Kolkatta
18817.01,18817.01,28.92,OnePlus,8,256,3.4,Jaipur
14527.31,14527.31,18.34,Motorola,8,128,5.0,Kolkatta
37935.83,75871.66,24.82,OPPO,12,256,4.1,Pune
38273.99,76547.98,19.26,Motorola,8,64,4.1,Chennai
27830.2,27830.2,5.96,vivo,4,512,3.3,Delhi
7836.87,7836.87,14.51,Motorola,12,256,4.0,Mumbai
33487.09,66974.18,6.69,OnePlus,8,128,3.6,Suratt
24198.33,24198.33,8.72,Apple,12,512,3.6,Bangalore
30420.9,60841.8,14.5,Motorola,8,128,3.6,Hydrabad
8806.8,8806.8,17.87,Samsung,6,256,3.3,Bangalore
